Country,AgeDiffAll,AdjRD-All,AgeDiffMax10,AdjRD-Max10,AgeDiffMax1,AdjRD-Max1
FRA,-10.15477667,372.531948,-7.7,55.687796,-30,-56.054345
GER,-0.06985933,4.738265,-7,110.806691,-24,121.908037
RUS,0.35785441,61.606787,-6.5,36.915778,-17,141.551312
ESP,1.82717457,214.954664,-5.6,3.275825,-16,122.048175
POL,4.22015734,11.955022,-4.3,7.656175,-12,195.827899
IND,4.60294118,166.097876,-4.1,56.25423,-11,195.011633
IRI,4.98718655,108.488344,-3.6,96.172419,-11,-10.002361
GRE,5.57851406,-31.063855,-3.5,95.619214,-11,173.619477
CZE,5.78939791,42.844895,-3.4,464.724268,-9,115.629306
HUN,5.89295113,107.929229,-3.2,-27.430069,-7,5.692647
TUR,6.05680253,151.595031,-2.4,-17.69743,-6,117.193412
BRA,6.23644578,88.588855,-2,108.555396,-6,307.192474
SRB,6.36220965,178.5481,-0.9,34.413708,-4,129.558162
ITA,6.41729323,6.36349,-0.6,127.295868,-4,281.333804
SRI,6.53009316,162.975669,-0.5,20.163126,-4,36.48665
NED,6.67238095,-167.206259,-0.1,13.31073,-4,262.904019
AUT,6.77744137,175.02423,0.3,153.244261,-3,121.342346
UKR,7.15845445,27.832329,0.7,41.153931,-2,220.15078
COL,7.37432331,94.932982,0.8,152.96491,-2,87.328506
MEX,7.40665233,-107.341042,0.9,-68.676021,-1,214.81499
SVK,7.83086368,-90.467826,1.2,-99.048136,0,255.870742
CRO,7.86820696,61.914768,1.2,31.02864,0,228.822441
CHN,8.02720373,109.292605,1.2,130.605728,1,96.627922
ROU,8.61084665,159.759413,1.3,179.169382,1,195.981393
BEL,8.73414152,142.592137,1.4,4.272416,1,106.150577
ENG,9.35692909,46.015441,1.5,-13.262927,1,255.203063
SWE,9.4212957,134.492161,1.9,39.807506,2,-68.760708
CUB,9.64942138,-57.900159,2.4,97.916378,2,97.479032
GEO,9.78232395,149.47173,3.1,104.888676,4,28.974892
KAZ,9.92553709,133.562891,3.5,56.590211,6,163.008678
NOR,10.57431556,63.119169,3.8,163.028404,7,72.270158
USA,11.68553459,78.691016,4,92.240932,7,-3.759301
SUI,12.05009657,146.535732,4.4,147.11992,9,104.135135
VIE,12.0717803,-49.161553,4.9,37.978061,9,61.273635
ARG,12.22207002,48.276854,5.1,44.140578,9,146.978482
LTU,12.25846883,82.581809,5.2,113.004388,11,291.741052
ISR,12.5791923,57.934302,5.8,76.848453,11,137.888962
LAT,12.61719457,184.145249,6.8,73.232519,12,249.150323
DEN,13.60451809,74.752906,7.4,134.822935,15,151.074611
PHI,13.84020369,162.844445,9.9,189.98314,18,-12.205089
CHI,14.31952499,49.415437,10.9,189.301418,19,218.060526
SLO,14.70873967,31.176541,11.2,172.303285,20,-76.789541
BAN,14.85708899,178.326169,11.3,47.063186,21,100.359128
KOR,15.52065217,102.349049,11.9,61.522273,23,73.184427
EGY,16.68223906,69.167929,12.5,237.434874,26,153.336155
BUL,17.15897436,130.566817,13.4,131.034666,27,101.75329
COEF,146.7859248,-10.90370926,79.71634647,3.416057007,133.0252214,-0.189467774
