juniors,inactives,floor,MW_estimate,MW_statistic,MW_p.value,MW_conf.low,MW_conf.high,KS_statistic,KS_p.value
FALSE,FALSE,1000,103,365395886.5,2.0247782684791847e-102,94,113,0.13517033747221094,0
FALSE,FALSE,1400,27,210466820,4.018210727450488e-11,19,35,0.05005616615061292,2.2948991595939106e-9
FALSE,FALSE,1600,6,121569490,0.11700765552661405,-1,13,0.01920083535567733,0.2031328457431102
FALSE,TRUE,1000,78,2397535964,2.0470300948836154e-207,73,83,0.09800685126101549,0
FALSE,TRUE,1400,43,1620324673,2.8274052413906354e-87,39,48,0.06918491080613752,0
FALSE,TRUE,1600,24,985478099,6.862785068311885e-36,20,28,0.06440814400194102,0
TRUE,FALSE,1000,221,1779196335,0,215,226,0.2687076421897532,0
TRUE,FALSE,1400,79,553627521.5,9.672454744787357e-167,73,84,0.13606766118703273,0
TRUE,FALSE,1600,36,252609284,7.652431249849448e-39,31,42,0.08105720613682871,0
TRUE,TRUE,1000,180,7136429258,0,176,184,0.2106805002842941,0
TRUE,TRUE,1400,72,2798271575.5,0,69,76,0.11980829983507739,0
TRUE,TRUE,1600,37,1396529296.5,1.0567602733339454e-99,33,40,0.07285247359678391,0
