include_junior,include_inactive,min_rating,metric,signif,n,method
FALSE,FALSE,1000,mean,female-slanted,1,fdr
FALSE,FALSE,1000,mean,male-slanted,29,fdr
FALSE,FALSE,1000,mean,nonsignificant,16,fdr
FALSE,FALSE,1000,mean,female-slanted,3,none
FALSE,FALSE,1000,mean,male-slanted,29,none
FALSE,FALSE,1000,mean,nonsignificant,14,none
FALSE,FALSE,1000,median,female-slanted,1,fdr
FALSE,FALSE,1000,median,male-slanted,21,fdr
FALSE,FALSE,1000,median,nonsignificant,24,fdr
FALSE,FALSE,1000,median,female-slanted,3,none
FALSE,FALSE,1000,median,male-slanted,27,none
FALSE,FALSE,1000,median,nonsignificant,16,none
FALSE,FALSE,1000,sd,female-slanted,9,fdr
FALSE,FALSE,1000,sd,male-slanted,3,fdr
FALSE,FALSE,1000,sd,nonsignificant,34,fdr
FALSE,FALSE,1000,sd,female-slanted,13,none
FALSE,FALSE,1000,sd,male-slanted,6,none
FALSE,FALSE,1000,sd,nonsignificant,27,none
FALSE,FALSE,1000,top1,male-slanted,13,fdr
FALSE,FALSE,1000,top1,nonsignificant,33,fdr
FALSE,FALSE,1000,top1,male-slanted,19,none
FALSE,FALSE,1000,top1,nonsignificant,27,none
FALSE,FALSE,1000,top10,male-slanted,18,fdr
FALSE,FALSE,1000,top10,nonsignificant,28,fdr
FALSE,FALSE,1000,top10,male-slanted,23,none
FALSE,FALSE,1000,top10,nonsignificant,23,none
FALSE,TRUE,1000,mean,female-slanted,1,fdr
FALSE,TRUE,1000,mean,male-slanted,57,fdr
FALSE,TRUE,1000,mean,nonsignificant,19,fdr
FALSE,TRUE,1000,mean,female-slanted,2,none
FALSE,TRUE,1000,mean,male-slanted,57,none
FALSE,TRUE,1000,mean,nonsignificant,18,none
FALSE,TRUE,1000,median,female-slanted,1,fdr
FALSE,TRUE,1000,median,male-slanted,49,fdr
FALSE,TRUE,1000,median,nonsignificant,27,fdr
FALSE,TRUE,1000,median,female-slanted,4,none
FALSE,TRUE,1000,median,male-slanted,50,none
FALSE,TRUE,1000,median,nonsignificant,23,none
FALSE,TRUE,1000,sd,female-slanted,10,fdr
FALSE,TRUE,1000,sd,male-slanted,12,fdr
FALSE,TRUE,1000,sd,nonsignificant,55,fdr
FALSE,TRUE,1000,sd,female-slanted,15,none
FALSE,TRUE,1000,sd,male-slanted,25,none
FALSE,TRUE,1000,sd,nonsignificant,37,none
FALSE,TRUE,1000,top1,male-slanted,47,fdr
FALSE,TRUE,1000,top1,nonsignificant,30,fdr
FALSE,TRUE,1000,top1,male-slanted,50,none
FALSE,TRUE,1000,top1,nonsignificant,27,none
FALSE,TRUE,1000,top10,male-slanted,65,fdr
FALSE,TRUE,1000,top10,nonsignificant,12,fdr
FALSE,TRUE,1000,top10,male-slanted,65,none
FALSE,TRUE,1000,top10,nonsignificant,12,none
TRUE,FALSE,1000,mean,male-slanted,76,fdr
TRUE,FALSE,1000,mean,nonsignificant,3,fdr
TRUE,FALSE,1000,mean,male-slanted,76,none
TRUE,FALSE,1000,mean,nonsignificant,3,none
TRUE,FALSE,1000,median,male-slanted,71,fdr
TRUE,FALSE,1000,median,nonsignificant,8,fdr
TRUE,FALSE,1000,median,male-slanted,71,none
TRUE,FALSE,1000,median,nonsignificant,8,none
TRUE,FALSE,1000,sd,female-slanted,5,fdr
TRUE,FALSE,1000,sd,male-slanted,15,fdr
TRUE,FALSE,1000,sd,nonsignificant,59,fdr
TRUE,FALSE,1000,sd,female-slanted,11,none
TRUE,FALSE,1000,sd,male-slanted,24,none
TRUE,FALSE,1000,sd,nonsignificant,44,none
TRUE,FALSE,1000,top1,male-slanted,55,fdr
TRUE,FALSE,1000,top1,nonsignificant,24,fdr
TRUE,FALSE,1000,top1,male-slanted,59,none
TRUE,FALSE,1000,top1,nonsignificant,20,none
TRUE,FALSE,1000,top10,male-slanted,68,fdr
TRUE,FALSE,1000,top10,nonsignificant,11,fdr
TRUE,FALSE,1000,top10,male-slanted,70,none
TRUE,FALSE,1000,top10,nonsignificant,9,none
TRUE,TRUE,1000,mean,male-slanted,94,fdr
TRUE,TRUE,1000,mean,nonsignificant,5,fdr
TRUE,TRUE,1000,mean,male-slanted,94,none
TRUE,TRUE,1000,mean,nonsignificant,5,none
TRUE,TRUE,1000,median,male-slanted,86,fdr
TRUE,TRUE,1000,median,nonsignificant,13,fdr
TRUE,TRUE,1000,median,male-slanted,88,none
TRUE,TRUE,1000,median,nonsignificant,11,none
TRUE,TRUE,1000,sd,female-slanted,10,fdr
TRUE,TRUE,1000,sd,male-slanted,22,fdr
TRUE,TRUE,1000,sd,nonsignificant,67,fdr
TRUE,TRUE,1000,sd,female-slanted,17,none
TRUE,TRUE,1000,sd,male-slanted,33,none
TRUE,TRUE,1000,sd,nonsignificant,49,none
TRUE,TRUE,1000,top1,male-slanted,72,fdr
TRUE,TRUE,1000,top1,nonsignificant,27,fdr
TRUE,TRUE,1000,top1,male-slanted,76,none
TRUE,TRUE,1000,top1,nonsignificant,23,none
TRUE,TRUE,1000,top10,male-slanted,93,fdr
TRUE,TRUE,1000,top10,nonsignificant,6,fdr
TRUE,TRUE,1000,top10,male-slanted,93,none
TRUE,TRUE,1000,top10,nonsignificant,6,none
